AQI index,Station name,Dominent pollutant,CO,Dew,Humidity,NO2,O3,Pressure,PM10,PM2.5,SO2,Temperature,Wind,Data Time S,Status,Latitude,Longitude
251.0,Bắc Ninh,PM2.5,7.0,22.0,77.0,52.0,2.0,1015.0,155.0,251.0,6.0,18.0,1.5,2021-01-21 20:00:00,Very unhealthy,21.1232473,106.2883295
315.0,Bắc Ninh,PM2.5,7.0,22.0,77.0,48.0,9.0,1015.0,205.0,315.0,12.0,18.0,1.5,2021-01-21 20:00:00,Hazardous,21.0272212,106.0342099
224.0,Hà Nội,PM2.5,61.0,22.0,79.5,80.0,2.0,1015.5,185.0,224.0,2.0,18.0,1.2,2021-01-21 19:00:00,Very unhealthy,21.03982,105.84726
177.0,Hà Nội,PM2.5,20.0,22.0,79.5,42.0,2.0,1015.5,112.0,177.0,2.0,18.0,1.2,2021-01-21 19:00:00,Unhealthy,20.98832,105.854897
179.0,Hà Nội,PM2.5,14.0,22.0,79.5,47.0,2.0,1015.5,122.0,179.0,2.0,18.0,1.2,2021-01-21 19:00:00,Unhealthy,21.01994,105.77056
214.0,Hà Nội,PM2.5,19.0,22.0,77.0,36.0,1.0,1015.0,149.0,214.0,1.0,18.0,1.2,2021-01-21 19:00:00,Very unhealthy,21.01525,105.80013
93.0,Đà Nẵng,PM2.5,3.0,23.0,88.0,1.0,35.0,1014.0,25.0,32.0,5.0,21.0,4.6,2021-01-21 19:00:00,Moderate,16.074,108.217
147.0,Nha Trang,PM2.5,7.0,23.0,83.0,13.0,13.0,1013.0,42.0,54.0,3.0,23.0,5.1,2021-01-21 20:00:00,Unhealthy for sensitive groups,12.284358,109.192524
213.0,Hà Nội,PM2.5,31.0,22.0,79.5,34.0,2.0,1015.5,175.0,213.0,2.0,18.0,1.2,2021-01-21 19:00:00,Very unhealthy,21.02022,105.81232
166.0,Hà Nội,PM2.5,13.0,22.0,79.5,33.0,2.0,1015.5,105.0,166.0,2.0,18.0,1.2,2021-01-21 19:00:00,Unhealthy,21.00577,105.74842
221.0,Hà Nội,PM2.5,38.0,22.0,79.5,31.0,2.0,1015.5,177.0,221.0,2.0,18.0,1.2,2021-01-21 19:00:00,Very unhealthy,21.05121,105.78232
191.0,Hà Nội,PM2.5,17.0,22.0,82.0,18.0,2.0,1016.0,130.0,191.0,2.0,18.0,1.0,2021-01-21 20:00:00,Unhealthy,21.0072,105.83572
213.0,Cao Bằng,PM2.5,5.0,23.7,77.8,1.0,1.0,986.3,204.0,213.0,2.0,17.2,2.0,2021-01-21 21:00:00,Very unhealthy,22.6782,106.245
122.0,Hồ Chí Minh,PM2.5,5.0,25.0,56.5,10.0,6.5,1008.5,42.0,122.0,5.0,30.5,2.5,2021-01-22 13:00:00,Unhealthy for sensitive groups,10.782978,106.700711
192.0,Hà Nội,aqi,6.0,22.0,53.0,18.0,2.0,1015.0,49.0,65.0,2.0,22.0,2.0,2021-01-22 13:00:00,Unhealthy,21.0811211,105.8180306
189.0,Hà Nội,PM2.5,0.1,22.0,51.0,8.7,4.9,1014.5,49.0,189.0,3.1,22.5,2.3,2021-01-22 13:00:00,Unhealthy,21.0215063,105.8188748
18.0,Gia Lai,PM10,4.0,20.4,64.3,13.0,20.0,926.2,18.0,17.0,1.0,23.0,2.0,2021-01-22 13:00:00,Good,13.998599,107.996482
157.0,Thừa Thiên Huế,PM2.5,2.0,23.0,93.0,10.0,6.5,1015.5,52.0,68.0,5.0,20.0,3.3,2021-01-22 13:00:00,Unhealthy,16.46226,107.596351
189.0,Hà Nội,PM2.5,12.0,22.0,58.0,42.0,1.0,1016.0,156.0,189.0,2.0,22.0,2.0,2021-01-22 12:00:00,Unhealthy,21.04975,105.74187
164.0,Bắc Ninh,PM2.5,5.0,22.0,53.0,14.0,23.0,1015.0,88.0,164.0,17.0,22.0,2.0,2021-01-22 13:00:00,Unhealthy,21.1137452,105.9268934
131.0,Lào Cai,PM2.5,38.0,23.9,93.2,3.0,1.0,1007.1,24.0,131.0,22.0,16.7,1.0,2021-01-22 13:00:00,Unhealthy for sensitive groups,22.3221386,104.1214227
